Last,First,Team,rushAtt,rushYards,100 yd,rushTD,Rec,recYards,100 yd,recTD,fumbles,0-9,19-Oct,20-29,30-39,40-49,50+,0-9,19-Oct,20-29,30-39,40-49,50+,0-9,19-Oct,20-29,30-39,40-49,50+,0-9,19-Oct,20-29,30-39,40-49,50+,Points,ADP,Age,Exp,ID,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17
McClain,Le'Ron,SD/7,75,293,0,1,20,130,0,1,1,0.78,0.1,0.07,0.03,0.01,0.01,0.44,0.3,0.2,0.04,0.01,0.01,0.78,0.1,0.07,0.03,0.01,0.01,0.44,0.3,0.2,0.04,0.01,0.01,74,231,28,6,McClLe00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
McCluster,Dexter,KC/7,40,164,0,1,14,99,0,0,1,0.6,0.2,0.1,0.05,0.02,0.03,0.4,0.29,0.18,0.08,0.02,0.03,0.6,0.2,0.1,0.05,0.02,0.03,0,0,0,0,0,0,46,226,24,3,McClDe00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
McCoy,LeSean,Phi/7,260,1222,5,12,54,405,0,3,2,0.52,0.15,0.1,0.1,0.08,0.05,0.38,0.24,0.16,0.12,0.04,0.06,6.24,1.8,1.2,1.2,0.96,0.6,1.14,0.72,0.48,0.36,0.12,0.18,307,3,24,4,McCoLe01,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
McFadden,Darren,Oak/5,240,1248,5,8,36,324,0,2,3,0.52,0.15,0.1,0.1,0.08,0.05,0.38,0.24,0.16,0.12,0.04,0.06,4.16,1.2,0.8,0.8,0.64,0.4,0.76,0.48,0.32,0.24,0.08,0.12,253,11,25,5,McFaDa00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
McGahee,Willis,Den/7,195,839,2,6,15,98,0,0,4,0.6,0.2,0.1,0.05,0.02,0.03,0.4,0.29,0.18,0.08,0.02,0.03,3.6,1.2,0.6,0.3,0.12,0.18,0,0,0,0,0,0,145,70,31,9,McGaWi00,1,1,1,1,1,1,1,0.9,0.9,0.8,0.8,0.7,0.7,0.6,0.6,0.5,0.5
McKnight,Joe,NYJ/9,80,320,0,2,26,208,0,1,1,0.6,0.2,0.1,0.05,0.02,0.03,0.4,0.29,0.18,0.08,0.02,0.03,1.2,0.4,0.2,0.1,0.04,0.06,0.4,0.29,0.18,0.08,0.02,0.03,97,201,24,3,McKnJo00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Mendenhall,Rashard,Pit/4,65,260,0,2,11,83,0,0,1,0.6,0.2,0.1,0.05,0.02,0.03,0.4,0.29,0.18,0.08,0.02,0.03,1.2,0.4,0.2,0.1,0.04,0.06,0,0,0,0,0,0,57,112,25,5,MendRa00,0,0,0,0,0,0,0.5,0.6,0.7,0.8,0.9,1,1,1,1,1,1
Miller,Lamar,Mia/7,40,160,0,1,10,64,0,0,0,0.6,0.2,0.1,0.05,0.02,0.03,0.4,0.29,0.18,0.08,0.02,0.03,0.6,0.2,0.1,0.05,0.02,0.03,0,0,0,0,0,0,38,186,21,1,MillLa00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Moreno,Knowshon,Den/7,25,103,0,0,5,40,0,0,0,0.6,0.2,0.1,0.05,0.02,0.03,0.4,0.29,0.18,0.08,0.02,0.03,0,0,0,0,0,0,0,0,0,0,0,0,19,192,25,4,MoreKn00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Murray,DeMarco,Dal/5,240,1128,4,7,27,203,0,1,0,0.52,0.15,0.1,0.1,0.08,0.05,0.38,0.24,0.16,0.12,0.04,0.06,3.64,1.05,0.7,0.7,0.56,0.35,0.38,0.24,0.16,0.12,0.04,0.06,208,19,24,2,MurrDe00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ogbonnaya,Chris,Cle/10,15,62,0,0,5,38,0,0,0,0.6,0.2,0.1,0.05,0.02,0.03,0.4,0.29,0.18,0.08,0.02,0.03,0,0,0,0,0,0,0,0,0,0,0,0,15,9999,26,4,OgboCh00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Pead,Isaiah,StL/9,90,360,0,2,15,113,0,1,1,0.6,0.2,0.1,0.05,0.02,0.03,0.4,0.29,0.18,0.08,0.02,0.03,1.2,0.4,0.2,0.1,0.04,0.06,0.4,0.29,0.18,0.08,0.02,0.03,80,148,23,1,PeadIs00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Peterson,Adrian,Min/11,195,878,2,7,17,138,0,0,3,0.6,0.2,0.1,0.05,0.02,0.03,0.4,0.29,0.18,0.08,0.02,0.03,4.2,1.4,0.7,0.35,0.14,0.21,0,0,0,0,0,0,161,26,27,6,PeteAd01,0.5,0.6,0.7,0.8,0.9,1,1,1,1,1,1,1,1,1,1,1,1
Pierce,Bernard,Bal/8,95,390,0,2,11,83,0,0,1,0.6,0.2,0.1,0.05,0.02,0.03,0.4,0.29,0.18,0.08,0.02,0.03,1.2,0.4,0.2,0.1,0.04,0.06,0,0,0,0,0,0,70,211,21,1,PierBe00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Powell,Bilal,NYJ/9,65,260,0,1,3,21,0,0,1,0.6,0.2,0.1,0.05,0.02,0.03,0.4,0.29,0.18,0.08,0.02,0.03,0.6,0.2,0.1,0.05,0.02,0.03,0,0,0,0,0,0,37,263,24,2,PoweBi00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Redman,Isaac,Pit/4,215,946,3,7,35,245,0,1,1,0.6,0.2,0.1,0.05,0.02,0.03,0.4,0.29,0.18,0.08,0.02,0.03,4.2,1.4,0.7,0.35,0.14,0.21,0.4,0.29,0.18,0.08,0.02,0.03,202,73,28,4,RedmIs00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Reece,Marcel,Oak/5,55,242,0,2,27,270,0,1,1,0.6,0.2,0.1,0.05,0.02,0.03,0.4,0.29,0.18,0.08,0.02,0.03,1.2,0.4,0.2,0.1,0.04,0.06,0.4,0.29,0.18,0.08,0.02,0.03,96,9999,27,5,ReecMa00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Rice,Ray,Bal/8,290,1276,5,11,62,527,0,2,2,0.52,0.15,0.1,0.1,0.08,0.05,0.38,0.24,0.16,0.12,0.04,0.06,5.72,1.65,1.1,1.1,0.88,0.55,0.76,0.48,0.32,0.24,0.08,0.12,320,2,25,5,RiceRa00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Richardson,Daryl,StL/9,15,59,0,0,3,41,0,0,0,0.6,0.2,0.1,0.05,0.02,0.03,0.4,0.29,0.18,0.08,0.02,0.03,0,0,0,0,0,0,0,0,0,0,0,0,13,9999,22,1,RichDa01,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Richardson,Trent,Cle/10,275,1183,4,8,45,358,0,2,3,0.52,0.15,0.1,0.1,0.08,0.05,0.38,0.24,0.16,0.12,0.04,0.06,4.16,1.2,0.8,0.8,0.64,0.4,0.76,0.48,0.32,0.24,0.08,0.12,259,21,22,1,RichTr00,0.7,0.8,0.9,1,1,1,1,1,1,1,1,1,1,1,1,1,1
