PlayerName,Team,rush_att,rush_yds,rush_tds,rec_att,rec_yds,rec_tds,fumbles,fpts
Chad Spann,NYJ,14,54.6,0.4,0,0,0,0.2,7.4
Michael Smith,TB,14.2,55.8,0.1,1.3,8,0,0,6.9
Michael Cox,NYG,10.9,42.7,0.5,0,0,0,0.1,6.9
Bruce Miller,SF,4.4,12.7,0,8,53.3,0,0,6.6
Darius Reynaud,TEN,3.7,15.6,0.1,4.7,44.2,0,0.1,6.5
Chris Thompson,WAS,10.5,46.2,0.1,2.3,14.7,0,0.1,6.5
Jonathan Grimes,FA,12.8,50.3,0.3,0,0,0,0.2,6.5
Marcus Thigpen,MIA,10.7,52,0,2.3,19,0,0.3,6.5
Jalen Parmele,TEN,15.1,55.9,0.2,0,0,0,0.1,6.4
Tristan Davis,FA,10,43.4,0,2,18,0,0,6.1
Harvey Unga,CHI,11.5,44.8,0.3,0,0,0,0.2,6.1
Chris Pressley,CIN,4.9,14.3,0.3,2.7,25,0,0,5.9
Shaun Chapas,DET,4,11.1,0,2,42.7,0,0,5.4
Matt Asiata,MIN,6.9,25.7,0.2,2.2,14.4,0.1,0.1,5.3
Owen Marecic,CLE,3.6,11.7,0,2.7,41.3,0,0,5.3
Quinn Johnson,TEN,4.9,12.3,0,5.3,40.5,0,0,5.3
Lawrence Vickers,FA,4.4,11.3,0,5.3,41.3,0,0,5.3
Damien Berry,BAL,9.1,35.1,0.3,0,0,0,0.1,5.1
Tommy Bohanon,NYJ,1.4,5.4,0,4.7,44.7,0,0,5
Antone Smith,ATL,9.2,35.8,0.3,0,0,0,0.1,5
Lex Hilliard,NYJ,7.4,26,0,2,16.7,0,0,4.3
David Johnson,FA,0,0,0,5.4,42.7,0,0,4.3
John Griffin,NYJ,2.7,12.7,0,3.4,28.7,0,0,4.1
Theo Riddick,DET,8.8,33.3,0.2,0,0,0,0.1,4.1
Dan Herron,FA,11,41,0,0,0,0,0,4.1
Anthony Sherman,KC,2.2,8.9,0,4.4,30.2,0,0,3.9
Kerwynn Williams,IND,7.3,35.3,0,0,0,0,0,3.5
Bradie Ewing,ATL,3.6,12,0,3.1,20.4,0,0,3.2
Erik Lorig,TB,3.6,13.8,0,3.1,16.9,0,0,3.1
Tony Fiammetta,NE,2.7,12.7,0,2,16,0,0,2.9
Mike Cox,FA,0,0,0,0,24,0,0,2.4
Kyle Juszczyk,BAL,0,0,0,2.7,21.4,0,0,2.1
Tyler Clutts,HOU,0,0,0,2.7,20.7,0,0,2.1
Will Ta'ufo'ou,JAC,2,5.4,0,3.4,14.7,0,0,2
John Conner,CIN,4.7,19.4,0,0,0,0,0,1.9
Stefan Logan,FA,6,32,0,1.4,10.7,0,1.4,1.6
Chris Gronkowski,SD,1.4,4,0,2,10,0,0,1.4
Brit Miller,FA,1.4,3.4,0,0.7,9.4,0,0,1.3
Nate Eachus,FA,2,6.7,0,1.4,6,0,0,1.3
Armond Smith,CAR,4,12,0,0,0,0,0,1.2
Corey McIntyre,FA,0.7,1.4,0,1.4,10,0,0,1.1
Manase Tonga,FA,0,4,0,1.4,6,0,0,1
Reagan Maui'a,ARI,0,0,0,0.7,8.7,0,0,0.9
Brock Bolen,CLE,0.7,3.4,0,0.7,4.7,0,0,0.8
Thomas Clayton,FA,3.4,6.7,0,0,0.7,0,0,0.7
Eddie Williams,CLE,0.7,0.7,0,0,5.4,0,0,0.6
Robert Hughes,FA,0.7,3.4,0,0.7,2,0,0,0.5
Moran Norris,FA,0.7,0,0,0.7,4.7,0,0,0.5
Josh Vaughan,ATL,1.3,4.4,0,0,0,0,0,0.4
Allen Bradford,SEA,1.4,4,0,0,0,0,0,0.4
Miguel Maysonet,CLE,0,0,0,0,0,0,0,0
Jawan Jamison,WAS,0,0,0,0,0,0,0,0
Jewel Hampton,FA,0,0,0,0,0,0,0,0
Alfonso Smith,FA,0,0,0,0,0,0,0,0
Steven Miller,DET,0,0,0,0,0,0,0,0
Bobby Rainey,BAL,0,0,0,0,0,0,0,0
C.J. Anderson,DEN,0,0,0,0,0,0,0,0
Jackie Battle,TEN,0,0,0,0,0,0,0,0
Brandon Jackson,CLE,0,0,0,0,0,0,0,0
Michael Hill,SD,0,0,0,0,0,0,0,0
Michael Ford,CHI,0,0,0,0,0,0,0,0
Davin Meggett,IND,0,0,0,0,0,0,0,0
Matthew Tucker,PHI,0,0,0,0,0,0,0,0
Jordan Roberts,KC,0,0,0,0,0,0,0,0
D.J. Harper,SF,0,0,0,0,0,0,0,0
